Time,ParameterName,ParameterValue
2023-01-01T00:00:00Z,TA_PT1H_AVG,3
2023-01-01T00:00:00Z,TA_PT1H_MAX,3.3
2023-01-01T00:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//YibcPKM2O6uNG85hKra0yvcP6ApKRe+lR8br2upN+q3B
B1RNp9/oT4pV4OSLNNAXFKFNioWKX/fGB+sb1JP/mXDkIP3hEC49xPVlfzWfSUW2
yXWeQ0JGXS24xhTzMz5hHSNrxKivYCQz7w+rAerX10fhOYzZibhHmtGHGIXiOep3
wokjMLmGJ7bzTvY4H5t3PyaYiwBhjBh"
2023-01-01T00:00:00Z,RH_PT1H_AVG,91
2023-01-01T00:00:00Z,WS_PT1H_AVG,4.7
2023-01-01T00:00:00Z,WS_PT1H_MAX,5.3
2023-01-01T00:00:00Z,WS_PT1H_MIN,4.1
2023-01-01T00:00:00Z,WD_PT1H_AVG,223
2023-01-01T00:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T00:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T00:00:00Z,PA_PT1H_AVG,986.8
2023-01-01T00:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T01:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAllAUxcyc2OnntJqyFk08zHkqJYYZ14uY+pFocd+WOet3
KeM9+Z2+VoYAvrreJCrtMxPnDbhtsZlKxP+n1dqeN4qyLzgtqpxDNY0CyDNZYHkG
d+JuwFDK64q8bjXtChJVf2akWwr5fsOcZJ6T/rjjkF6BYNk//woyCuli38h1YC1/
9FwtBep04tOfeXR34qm3C4Oio5D7wMY"
2023-01-01T01:00:00Z,TA_PT1H_MAX,2.7
2023-01-01T01:00:00Z,TA_PT1H_MIN,2.2
2023-01-01T01:00:00Z,RH_PT1H_AVG,93
2023-01-01T01:00:00Z,WS_PT1H_AVG,4.7
2023-01-01T01:00:00Z,WS_PT1H_MAX,5.9
2023-01-01T01:00:00Z,WS_PT1H_MIN,3.9
2023-01-01T01:00:00Z,WD_PT1H_AVG,247
2023-01-01T01:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T01:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T01:00:00Z,PA_PT1H_AVG,987.6
2023-01-01T01:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T02:00:00Z,TA_PT1H_AVG,1.9
2023-01-01T02:00:00Z,TA_PT1H_MAX,2.2
2023-01-01T02:00:00Z,TA_PT1H_MIN,1.6
2023-01-01T02:00:00Z,RH_PT1H_AVG,92
2023-01-01T02:00:00Z,WS_PT1H_AVG,5.6
2023-01-01T02:00:00Z,WS_PT1H_MAX,6.1
2023-01-01T02:00:00Z,WS_PT1H_MIN,5.1
2023-01-01T02:00:00Z,WD_PT1H_AVG,281
2023-01-01T02:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T02:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T02:00:00Z,PA_PT1H_AVG,989.1
2023-01-01T02:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T03:00:00Z,TA_PT1H_AVG,1.6
2023-01-01T03:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAA1rFQclnU1KbszpGRxb/rqUrBmW2rqT6BB9k3+lYPlabb
aFcSaNiiG/V3QL1xbcCkvPIKdU7m08iDF46TXktlCzgFv4CYAy+Wh0osB3mGjBkp
dhZCSD7+CvQtqJhcdF89qf2fNirm1P0rVUHYjOsOtpY2F9gxMbeBMIi/aecoyHnd
636bt9tM3NDNBFUW5HvixbyeUXnZoD1"
2023-01-01T03:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAo5ewDCdqr76kNfMrKIUVwCUqRZuVanomJ9KCh3sNe4aq
+u++vYFt7WbeE8bCRUFpR5Jzg26JndBrU+97E1XzCrQ14P9EPQEy3ToHxtKZ8A9g
hLRMcjMmmbR878Kr5aUeIXVWLanbV2YOm1KEhQTJO95PoVJn96ZRcbFn8OOSiiEI
OeVcsplW0mYNBxmEAH55OV1S6ZRPFyG"
2023-01-01T03:00:00Z,RH_PT1H_AVG,88
2023-01-01T03:00:00Z,WS_PT1H_AVG,5.5
2023-01-01T03:00:00Z,WS_PT1H_MAX,5.9
2023-01-01T03:00:00Z,WS_PT1H_MIN,4.9
2023-01-01T03:00:00Z,WD_PT1H_AVG,276
2023-01-01T03:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T03:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T03:00:00Z,PA_PT1H_AVG,990.4
2023-01-01T03:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T04:00:00Z,TA_PT1H_AVG,0.9
2023-01-01T04:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAmW3UIqHpxmEEeqZ9TD9DB73qdUbVfOWJ/d1vaY+WL/ui
ZcEo+NNq17+7QXTu0CskvwMtuov4nyigwfWnSfiHP4cQU9y45mfEfCFVC2++Tr9g
EQALuKM8vyf0BJ4rEDX/htIFHmhqAqV5NDYsv57SAggn8ZPFnhL9KzUSSjJ/Kp03
k/Qden2geqhlPG/xTjhB72V23nmNtdv"
2023-01-01T04:00:00Z,TA_PT1H_MIN,0.6
2023-01-01T04:00:00Z,RH_PT1H_AVG,87
